title,link,subtitle,product_id,thumbnail
"iQIYI - Drama, Anime, Show",https://play.google.com/store/apps/details?id=com.iqiyi.i18n,New C-Drama: Snowy Night Timeless Love,com.iqiyi.i18n,https://play-lh.googleusercontent.com/L40FnQ8nF8zRtUdALz9b23JirsxYA5-0_fkRUlFBMymud09ctBCFrNui4l-ES_V6Uw=s64
Adobe Express: AI Video Design,https://play.google.com/store/apps/details?id=com.adobe.spark.post,Animate all text and objects in a tap,com.adobe.spark.post,https://play-lh.googleusercontent.com/qMrUkd0hmUY9CXcGC4u8jjJLzqNGzQ_PEVrnqjBbVoKR-2KNtZkmteZrCc8qcPKJoXo=s64
Badoo Dating App: Meet & Date,https://play.google.com/store/apps/editorial?id=mc_apps_editorial_global_user_education_badoo_deep_dive_fcp,Make connections on your own terms with Badoo,mc_apps_editorial_global_user_education_badoo_deep_dive_fcp,https://play-lh.googleusercontent.com/mix0TYeOXNQ8vCIKE-dwOlCUrb5RKuJJVdmWmDfjosD1l-Btx08-rZRK0e91ap_gMrw=s64
Blinkist: Book Summaries Daily,https://play.google.com/store/apps/details?id=com.blinkslabs.blinkist.android,Blinkist Pro – The AI innovation for smarter learning!,com.blinkslabs.blinkist.android,https://play-lh.googleusercontent.com/JwvZpmpuUpw-QqSAzqARVDiuZZBAX-M8BhX21v4ppSzNEPXaMAjgJ5pS-Rvti-nwmw=s64
"Discord - Talk, Play, Hang Out",https://play.google.com/store/apps/details?id=com.discord,Get into the spoooky spirit: gift Nitro & get an avatar decoration for free.,com.discord,https://play-lh.googleusercontent.com/0oO5sAneb9lJP6l8c6DH4aj6f85qNpplQVHmPmbbBxAukDnlO7DarDW0b-kEIHa8SQ=s64
"Picsart AI Photo Editor, Video",https://play.google.com/store/apps/details?id=com.picsart.studio,Thrill ‘em with your content,com.picsart.studio,https://play-lh.googleusercontent.com/hexunszQESgaMxZdfuGvYdNnS6fRebRqW5lECqadoqlTL3fbJbLL6NKceHlQ58ALXcE=s64
Duolingo: Language Lessons,https://play.google.com/store/apps/details?id=com.duolingo,Earn your spooky October badge,com.duolingo,https://play-lh.googleusercontent.com/vIMymGDzl2arE2styucCrIO35Qv6yX7iJJYZGmIUMXXV_mT5OyR5MjpkfHFB3tc8bA=s64
ReelShort - Short Movie & TV,https://play.google.com/store/apps/details?id=com.newleaf.app.android.victor,A Fated Encounter,com.newleaf.app.android.victor,https://play-lh.googleusercontent.com/GRLKJUqN3Th4EL0HbBskFp6uM5TLvNQ0zKUj75W2t2pmuSrUer3HtrZlHFEfinnAp2U=s64
Colorfy: Coloring Book Games,https://play.google.com/store/apps/details?id=com.fungamesforfree.colorfy,Mental Health Day,com.fungamesforfree.colorfy,https://play-lh.googleusercontent.com/ZnDTKhvuehrhf-g9OZd29cQ2YZ8QSN9qYItJMNzhdaQ_wAwspj88cGbOSPIfK3gu1w=s64
weverse,https://play.google.com/store/apps/details?id=co.benx.weverse,The Kid LAROI global fan community is now open!,co.benx.weverse,https://play-lh.googleusercontent.com/DC9EifITAPkp5J1kq8-dx1IPLqjdZwVoVYsgelm1AwE_IAwBCMuPZg7OTQD5OW_lEwqp=s64
MoboReels-Surprise Vows,https://play.google.com/store/apps/details?id=com.changdu.mobovideo,Katherine uncovers her fiancé's infidelity on their wedding day,com.changdu.mobovideo,https://play-lh.googleusercontent.com/UuiVnFr1fvLMk7QC4-aXoI_GluOFKJrv9HwJHxQSQmzBertwGZ9iDOwxOQYpvWkU0w=s64
"Color Widgets, Theme: iWidgets",https://play.google.com/store/apps/details?id=colorwidgets.ios.widget.topwidgets,Music Widgets Now Available!,colorwidgets.ios.widget.topwidgets,https://play-lh.googleusercontent.com/SyGXbk6jkLZesdQ3Emj5XMADBuEzLIREUo_3xxRyagQc3N6a4NCY4penpEmSqn8t4Q=s64
IMDb: Movies & TV Shows,https://play.google.com/store/apps/details?id=com.imdb.mobile,Add emoji reactions to any video,com.imdb.mobile,https://play-lh.googleusercontent.com/sb30umyAPj9A4ixl4jnPJO15ET-mo4TihKOI0xwFzRbxOfZo6fozeKmAjf8Lhl3mqHY=s64
My Drama: Short reel stories!,https://play.google.com/store/apps/details?id=com.dashdramas,Привіт! - Watch in Ukrainian!,com.dashdramas,https://play-lh.googleusercontent.com/gCFPuClZJdyqYMWC4Kuy9pgoxO2duQimpZDPgbgcUb6aXLMwU3acy2Lm9wsGjRMaJ-k=s64
AliExpress - Shopping App,https://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd,Prize Land | New update for everyone,com.alibaba.aliexpresshd,https://play-lh.googleusercontent.com/luLha_idSPcj2X1lF0GvIOuf4ODegCSuSDbPBSc2DXxrwaXCLRc5sWDZteSH0I44gmdG=s64
FaceApp: Perfect Face Editor,https://play.google.com/store/apps/details?id=io.faceapp,A Week of Extra Long Lashes: Available for Everyone to Join!,io.faceapp,https://play-lh.googleusercontent.com/wy7PeVendA2m-DZnkSZepPYA9BaYydp35NhUwiw-BWkqh7BwvTAYMnlox118MmE2mQ=s64
Lose Weight - Weight Loss App,https://play.google.com/store/apps/details?id=loseweight.weightloss.workout.fitness,Trick or Sweat? Build Your Dream Body before Halloween!,loseweight.weightloss.workout.fitness,https://play-lh.googleusercontent.com/G5dGEtA8jfApfFnwHyUzzN-bXNkGO0aaWhRTvPgxdTq_hTOSGyw98IBzYdeL5P3A37KO=s64
